"25107"	"ERP007111"	"ERS680364"	"ERX1025959"	"ERR946974"	NA	NA	NA	NA	NA	NA	"<EFO:0004905: induced pluripotent stem cell>"	"65.0 missing"	NA	NA	NA	"<UBERON:0003101: male organism>"
"25108"	"ERP007111"	"ERS680364"	"ERX1025984"	"ERR946999"	NA	NA	NA	NA	NA	NA	"<EFO:0004905: induced pluripotent stem cell>"	"65.0 missing"	NA	NA	NA	"<UBERON:0003101: male organism>"
"25109"	"ERP007111"	"ERS680365"	"ERX1025956"	"ERR946971"	NA	NA	NA	NA	NA	NA	"<EFO:0004905: induced pluripotent stem cell>"	"49.0 missing"	NA	NA	NA	"<UBERON:0003100: female organism>"
"25110"	"ERP007111"	"ERS680365"	"ERX1025981"	"ERR946996"	NA	NA	NA	NA	NA	NA	"<EFO:0004905: induced pluripotent stem cell>"	"49.0 missing"	NA	NA	NA	"<UBERON:0003100: female organism>"
"25111"	"ERP007111"	"ERS680366"	"ERX1025977"	"ERR946992"	NA	NA	NA	NA	NA	NA	"<EFO:0004905: induced pluripotent stem cell>"	"60.0 missing"	NA	NA	NA	"<UBERON:0003100: female organism>"
"25112"	"ERP007111"	"ERS680366"	"ERX1026002"	"ERR947017"	NA	NA	NA	NA	NA	NA	"<EFO:0004905: induced pluripotent stem cell>"	"60.0 missing"	NA	NA	NA	"<UBERON:0003100: female organism>"
"25113"	"ERP007111"	"ERS680367"	"ERX1025969"	"ERR946984"	NA	NA	NA	NA	NA	NA	"<EFO:0004905: induced pluripotent stem cell>"	"60.0 missing"	NA	NA	NA	"<UBERON:0003100: female organism>"
"25114"	"ERP007111"	"ERS680367"	"ERX1025994"	"ERR947009"	NA	NA	NA	NA	NA	NA	"<EFO:0004905: induced pluripotent stem cell>"	"60.0 missing"	NA	NA	NA	"<UBERON:0003100: female organism>"
"25115"	"ERP007111"	"ERS680368"	"ERX1025972"	"ERR946987"	NA	NA	NA	NA	NA	NA	"<EFO:0004905: induced pluripotent stem cell>"	"25.0 missing"	NA	NA	NA	"<UBERON:0003101: male organism>"
"25116"	"ERP007111"	"ERS680368"	"ERX1025997"	"ERR947012"	NA	NA	NA	NA	NA	NA	"<EFO:0004905: induced pluripotent stem cell>"	"25.0 missing"	NA	NA	NA	"<UBERON:0003101: male organism>"
"25117"	"ERP007111"	"ERS680369"	"ERX1025976"	"ERR946991"	NA	NA	NA	NA	NA	NA	"<EFO:0004905: induced pluripotent stem cell>"	"44.0 missing"	NA	NA	NA	"<UBERON:0003100: female organism>"
"25118"	"ERP007111"	"ERS680369"	"ERX1026001"	"ERR947016"	NA	NA	NA	NA	NA	NA	"<EFO:0004905: induced pluripotent stem cell>"	"44.0 missing"	NA	NA	NA	"<UBERON:0003100: female organism>"
