"11313"	"SRP012682"	"SRS408744"	"SRX261562"	"SRR818821"	"<UBERON:0001013: adipose tissue>"	"<UBERON:0001013: adipose tissue>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11314"	"SRP012682"	"SRS374764"	"SRX203584"	"SRR612803"	"<UBERON:0001630: muscle organ>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<UBERON:0003101: male organism>"
"11315"	"SRP012682"	"SRS627069"	"SRX568083"	"SRR1330792"	"<UBERON:0002046: thyroid gland>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11316"	"SRP012682"	"SRS408498"	"SRX260978"	"SRR815116"	"<UBERON:0000344: mucosa>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11317"	"SRP012682"	"SRS648313"	"SRX629479"	"SRR1468613"	"<UBERON:0002084: heart left ventricle>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<UBERON:0003101: male organism>"
"11318"	"SRP012682"	"SRS408504"	"SRX260998"	"SRR815256"	"<UBERON:0000995: uterus>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<UBERON:0003100: female organism>"
"11319"	"SRP012682"	"SRS625549"	"SRX563301"	"SRR1320785"	"<UBERON:0000178: blood>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<UBERON:0003101: male organism>"
"11320"	"SRP012682"	"SRS636690"	"SRX596439"	"SRR1392593"	"<UBERON:0001637: artery>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11321"	"SRP012682"	"SRS638561"	"SRX603730"	"SRR1410823"	"<UBERON:0004648: esophagus muscularis mucosa>"	"<UBERON:0004648: esophagus muscularis mucosa>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<UBERON:0003101: male organism>"
"11322"	"SRP012682"	"SRS374815"	"SRX203692"	"SRR613282"	"<UBERON:0001630: muscle organ>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<UBERON:0003101: male organism>"
"11323"	"SRP012682"	"SRS629897"	"SRX580073"	"SRR1359328"	"<UBERON:0001021: nerve>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<UBERON:0003101: male organism>"
"11324"	"SRP012682"	"SRS650126"	"SRX640567"	"SRR1499543"	"<UBERON:0002046: thyroid gland>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11325"	"SRP012682"	"SRS649602"	"SRX636743"	"SRR1486995"	"<UBERON:0002048: lung>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<UBERON:0003101: male organism>"
"11326"	"SRP012682"	"SRS649607"	"SRX636774"	"SRR1487107"	"<UBERON:0006098: basal nuclear complex>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<UBERON:0003101: male organism>"
"11327"	"SRP012682"	"SRS408501"	"SRX260988"	"SRR815184"	"<UBERON:0006618: atrium auricular region>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<UBERON:0003101: male organism>"
"11328"	"SRP012682"	"SRS644552"	"SRX618253"	"SRR1443419"	"<UBERON:0002046: thyroid gland>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<UBERON:0003101: male organism>"
"11329"	"SRP012682"	"SRS638067"	"SRX601159"	"SRR1403934"	"<UBERON:0004550: gastroesophageal sphincter>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<UBERON:0003100: female organism>"
"11330"	"SRP012682"	"SRS627071"	"SRX568098"	"SRR1330831"	"<UBERON:0001155: colon>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<UBERON:0003100: female organism>"
"11331"	"SRP012682"	"SRS524773"	"SRX411446"	"SRR1081961"	"<UBERON:0001637: artery>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11332"	"SRP012682"	"SRS408391"	"SRX260689"	"SRR813043"	"<UBERON:0002048: lung>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<UBERON:0003101: male organism>"
"11333"	"SRP012682"	"SRS408499"	"SRX260983"	"SRR815140"	"<UBERON:0002107: liver>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<UBERON:0003101: male organism>"
"11334"	"SRP012682"	"SRS629391"	"SRX576475"	"SRR1349562"	"<UBERON:0002107: liver>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<UBERON:0003101: male organism>"
"11335"	"SRP012682"	"SRS389309"	"SRX221879"	"SRR656874"	"<UBERON:0002048: lung>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<UBERON:0003101: male organism>"
"11336"	"SRP012682"	"SRS408688"	"SRX261439"	"SRR818057"	"<UBERON:0006098: basal nuclear complex>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<UBERON:0003101: male organism>"
"11337"	"SRP012682"	"SRS408618"	"SRX261272"	"SRR816969"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<UBERON:0003101: male organism>"
"11338"	"SRP012682"	"SRS634869"	"SRX591515"	"SRR1381693"	"<UBERON:0002084: heart left ventricle>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<UBERON:0003100: female organism>"
"11339"	"SRP012682"	"SRS627439"	"SRX570156"	"SRR1335338"	"<UBERON:0000473: testis>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11340"	"SRP012682"	"SRS389640"	"SRX222464"	"SRR659037"	"<UBERON:0002048: lung>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<UBERON:0003101: male organism>"
"11341"	"SRP012682"	"SRS629701"	"SRX578653"	"SRR1355396"	"<UBERON:0001630: muscle organ>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<UBERON:0003101: male organism>"
"11342"	"SRP012682"	"SRS408138"	"SRX259940"	"SRR808220"	"<UBERON:0000014: zone of skin>"	"<CL:0000057: fibroblast>"	NA	NA	NA	NA	"<CL:0000057: fibroblast>"	NA	NA	NA	NA	NA
"11343"	"SRP012682"	"SRS627923"	"SRX572721"	"SRR1341480"	"<UBERON:0001013: adipose tissue>"	"<UBERON:0001013: adipose tissue>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11344"	"SRP012682"	"SRS629569"	"SRX577885"	"SRR1353376"	"<UBERON:0002107: liver>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<UBERON:0003101: male organism>"
"11345"	"SRP012682"	"SRS648667"	"SRX632563"	"SRR1475930"	"<UBERON:0000178: blood>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<UBERON:0003100: female organism>"
"11346"	"SRP012682"	"SRS637294"	"SRX597601"	"SRR1394713"	"<UBERON:0001874: putamen>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<UBERON:0003101: male organism>"
"11347"	"SRP012682"	"SRS389531"	"SRX222193"	"SRR657516"	"<UBERON:0000014: zone of skin>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11348"	"SRP012682"	"SRS650104"	"SRX640369"	"SRR1499040"	"<UBERON:0002107: liver>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<UBERON:0003101: male organism>"
"11349"	"SRP012682"	"SRS525239"	"SRX416037"	"SRR1091008"	"<UBERON:0004550: gastroesophageal sphincter>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<UBERON:0003101: male organism>"
"11350"	"SRP012682"	"SRS645828"	"SRX623095"	"SRR1454761"	"<UBERON:0001637: artery>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11351"	"SRP012682"	"SRS638373"	"SRX603058"	"SRR1409282"	"<UBERON:0001876: amygdala>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<UBERON:0003101: male organism>"
"11352"	"SRP012682"	"SRS389801"	"SRX222961"	"SRR662031"	"<UBERON:0002048: lung>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<UBERON:0003101: male organism>"
"11353"	"SRP012682"	"SRS408893"	"SRX261958"	"SRR821124"	"<UBERON:0001021: nerve>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<UBERON:0003101: male organism>"
"11354"	"SRP012682"	"SRS638089"	"SRX601342"	"SRR1404401"	"<UBERON:0000178: blood>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<UBERON:0003100: female organism>"
"11355"	"SRP012682"	"SRS626190"	"SRX565469"	"SRR1325483"	"<UBERON:0002113: kidney>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<UBERON:0003101: male organism>"
"11356"	"SRP012682"	"SRS634082"	"SRX588797"	"SRR1375394"	"<UBERON:0004550: gastroesophageal sphincter>"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<UBERON:0003101: male organism>"
